index DETECT_ID RA DEC
39471 acisfJ0535329m691615_001.0216 84.08525628870173 -69.21750236632882
111985 acisfJ1452122p430128_001.0026 223.0805247951548 43.10190312627843
86471 acisfJ1224254p071801_001.0007 186.10983791116607 7.240075658526009
2139 acisfJ0025384m122430_001.0190 6.308541762212714 -12.437158640334177
12258 acisfJ0128305p630647_001.0009 22.175909565986025 63.14042643500791
21733 acisfJ0259013p133237_001.0012 44.833965922052194 13.503377310720015
10775 acisfJ0109587m455621_001.0022 17.447016288606033 -45.8911709750494
27521 acisfJ0340117m183413_001.0033 55.04031872559263 -18.598134736290366
49676 acisfJ0808511p521546_001.0004 122.20607154588923 52.254272553877215
17868 acisfJ0225395p620537_001.0038 36.29023340839196 62.04429181851627
122915 acisfJ1640322m462336_001.0019 250.07921451621758 -46.397043091901146
36343 acisfJ0522226m675420_001.0001 80.97197074258328 -67.95892794747608
101175 acisfJ1339563m313908_001.0016 204.8372981914851 -31.667838704796296
133694 acisfJ1745179m284015_001.0010 266.2758151991656 -28.710533378150124
19187 acisfJ0229356p004200_001.0041 37.379850520929324 0.7502653848525918
51361 acisfJ0836150m262450_001.0023 129.034079745459 -26.343251109410552
63557 acisfJ1006354m295611_001.0031 151.58756011438453 -29.8327523863433
119300 acisfJ1615495m061210_001.0045 243.85194568388533 -6.15118921988696
83117 acisfJ1206270p641327_001.0022 181.64068754372948 64.2535226606074
76956 acisfJ1115263p180652_001.0033 168.92100281351736 18.128497989442142
105493 acisfJ1415232p520812_001.0034 213.82048367318848 52.120144172954845
113423 acisfJ1506559m621913_001.0013 226.5283557594682 -62.36971532394626
36321 acisfJ0523401m140305_001.0021 80.8587190525919 -14.057092065477994
121251 acisfJ1627415m385044_001.0001 246.92468197161818 -38.89034852267184
84292 acisfJ1216365p692818_001.0002 184.26175674599952 69.39684688537196
112116 acisfJ1452501p580231_001.0027 223.3052462584866 58.02412768987337
134210 acisfJ1746147m282023_001.0026 266.49063086292284 -28.331734733343904
47049 acisfJ0717442p374550_001.0034 109.50917502976357 37.78784475193618
53905 acisfJ0902314p520403_001.0019 135.65577993483458 52.08570975016738
50370 acisfJ0820234p212126_001.0033 125.06067846839666 21.30888652663933
116426 acisfJ1547336m375530_001.0012 236.79973029096314 -37.929150668200464
124364 acisfJ1654142m414953_001.1419 253.49415300392465 -41.804774412845866
64632 acisfJ1019531p453259_001.0036 154.97642352310984 45.580057020862675
60050 acisfJ1000169m301516_001.0016 149.97522211105118 -30.251167791880608
125575 acisfJ1655595m495741_001.0011 254.04906890687175 -50.046733024507624
103199 acisfJ1357428m394301_001.0003 209.41855427076646 -39.59534261135376
10449 acisfJ0107473m173032_001.0014 16.835651316420343 -17.532777859845204
102727 acisfJ1354086m022420_001.0048 208.43877924715505 -2.3851329063864037
25664 acisfJ0333056m274108_001.0036 53.21613141762513 -27.708207696950222
135845 acisfJ1750377m294957_001.0015 267.6727618444137 -29.78186877422083
36544 acisfJ0526480p425705_001.0070 81.81906317772865 42.900435241780016
103059 acisfJ1356453p102608_001.0060 209.17758026978487 10.523960557203388
57563 acisfJ0950094p141929_001.0034 147.5492219218403 14.267500627030689
30303 acisfJ0416104m240125_001.0024 63.99345728871551 -24.00861916267265
3487 acisfJ0039173p032034_001.0201 9.872806740601971 3.351760485646109
131228 acisfJ1735420m362114_001.0005 263.9419780645791 -36.32818182938573
34656 acisfJ0508579m534220_001.0035 77.16178970330637 -53.60447822198273
26970 acisfJ0338190m352538_001.0051 54.66080511904688 -35.45774944143095
263 acisfJ0002547m354600_001.0110 0.7356233118391718 -35.8945463413458
93185 acisfJ1250505p410713_001.0128 192.73006633988027 41.14200909663562
109690 acisfJ1431398p361757_001.0108 218.16594945227956 36.30243857529451
46778 acisfJ0716338m291924_001.0028 109.127691514212 -29.309842107633713
43463 acisfJ0627223m471102_001.0007 96.89378691532531 -47.11292548689119
33605 acisfJ0454025p025034_001.0250 73.5063012997556 2.972480960970222
66831 acisfJ1034364p573713_001.0023 158.741324206554 57.632342714703626
105593 acisfJ1415446p112958_001.0051 213.92853469244395 11.52354027215343
1301 acisfJ0015317p171827_001.0001 3.850314874600785 17.233666259040938
28408 acisfJ0345027m060224_001.0011 56.23058777597518 -6.030779633757493
84073 acisfJ1216096p263100_001.0058 183.92269921123153 26.6296901644565
101311 acisfJ1339569m313746_001.0043 204.99111055509763 -31.60948039078778
5906 acisfJ0047265m081115_001.0032 11.904155267113067 -8.08990514575809
58165 acisfJ0957482p023714_001.0012 149.3870513352967 2.602336557177637
79970 acisfJ1143458p462158_001.0098 176.01776968642986 46.41716741336186
112825 acisfJ1500488p475122_001.0001 225.18622859915112 47.81643281702381
88839 acisfJ1229396p075350_001.0006 187.44918584720463 7.866667668804226
62618 acisfJ1002384p020202_001.0019 150.62538331120555 2.036028348454888
116558 acisfJ1549550p624145_001.0047 237.2900594337695 62.706425260177376
17443 acisfJ0222299p421926_001.0048 35.63430577263897 42.34615408982978
20224 acisfJ0237551m522656_001.0015 39.55519689502873 -52.53111969428614
130017 acisfJ1725354m342336_001.0063 261.40241851290665 -34.42958265266519
61599 acisfJ1001154p555259_001.0009 150.34514624071988 55.92405678018424
83636 acisfJ1211085p502509_001.0019 182.84480967813096 50.41089521488404
13939 acisfJ0144297p170557_001.0019 26.163450115726157 17.07837722087718
44442 acisfJ0634172p042748_001.0074 98.53232972648459 4.535308141066455
84863 acisfJ1220015p291707_001.0186 185.00248655894595 29.30236633742889
55106 acisfJ0913408p405834_001.0056 138.42097309036814 40.83754402859972
105127 acisfJ1413141m620349_001.0007 213.1652745172003 -62.01021202841613
121303 acisfJ1628268m241716_001.0004 247.05509654011314 -24.338253897860106
25745 acisfJ0333018m245918_001.0026 53.30027355326206 -24.96976810115631
43361 acisfJ0626077m540455_001.0010 96.63368185970319 -54.104056716247115
89522 acisfJ1229488p080213_001.0623 187.6438538635046 8.09072093117596
46646 acisfJ0712082p593259_001.0017 108.06054905954834 59.542640866046334
37674 acisfJ0534448m053346_001.0375 83.76684519323695 -5.681025989153451
124550 acisfJ1654142m414953_001.0534 253.52124411248545 -41.835279637001996
118628 acisfJ1610278p130758_001.0004 242.56875908539288 13.143153230511864
40800 acisfJ0546441p000344_001.0161 86.71378011593853 0.15210244460884306
136952 acisfJ1756474m274349_001.0002 269.20283667670594 -27.70039400522889
81111 acisfJ1151063m284913_001.0067 177.7787928203969 -28.810809983111685
37704 acisfJ0535193m044814_001.0101 83.77001313224557 -4.785866184293977
85489 acisfJ1220060p291737_001.0213 185.0589763369749 29.228923160910632
72971 acisfJ1048253m250944_001.0130 162.09610182999555 -25.179562339157133
38282 acisfJ0535165m052323_001.2671 83.81504431374489 -5.400801160816732
53553 acisfJ0859271m434510_001.0114 134.8525146687429 -43.74860405864362
70063 acisfJ1043559m593241_001.0855 161.18475178113025 -59.492890281994015
43667 acisfJ0631564p045625_001.0187 97.93714867449802 4.933397984366591
117910 acisfJ1604196p431014_001.0034 241.00534623017205 43.23088043780177
123799 acisfJ1648332m460645_001.0004 252.28467952661185 -46.16320529037896
42617 acisfJ0616209m212224_001.0028 94.07055239556065 -21.375849334603387
125013 acisfJ1654142m414953_001.0761 253.5796707639757 -41.80796252729883
133836 acisfJ1745179m284015_001.0019 266.33903074624385 -28.68302323870685
125983 acisfJ1702070m295634_001.0043 255.4916969102069 -29.919395668056683
100798 acisfJ1337308p085622_001.0045 204.34551692642967 8.920273468623927
15332 acisfJ0159161p003322_001.0005 29.772392267573586 0.5317143712211159
107007 acisfJ1423029m393036_001.0041 215.7433026468781 -39.55248732824867
51055 acisfJ0829510p660407_001.0012 127.65700971042412 66.06092655590218
136371 acisfJ1754412m294916_001.0592 268.625413378185 -29.9344001429457
34562 acisfJ0506228m315729_001.0012 76.6331015596122 -31.975049016016428
37935 acisfJ0535165m052323_001.3281 83.7950137485681 -5.363504227295388
2698 acisfJ0033448m432130_001.0023 8.442702130466976 -43.3288110184842
31262 acisfJ0426566p244351_001.0002 66.76060623181824 24.725625445682354
122037 acisfJ1636379m465938_001.0009 249.09987207460165 -47.02639099632382
